#CLAVE,  CARR,  CAL1, CAL2, PUNTOS, ORD, EXT
FS105, IND, 71, 70, 34, 76, 
FS102, IQU, 40, 0, 30, 42, 
FS102, CEL, 90, 92, 36, 91, 
FS105, IND, 36, 0, 0, 11, 
FS102, CEL, 30, 17, 39, 53, 50
FS107, MEL, 29, 0, 20, 29, 
FS102, QUI, 20, 0, 0, 6, 
FS104, MEL, 100, 86, 40, 96, 
FS105, COM, 57, 70, 40, 78, 
FS105, FIS, 43, 30, 40, 62, 
FS104, CIV, 100, 93, 40, 98, 
FS102, COM, 40, 0, 0, 12, 
FS102, COM, 40, 0, 40, 52, 
FS102, INF, 40, 25, 40, 60, 
FS105, MEL, 64, 95, 34, 82, 
FS107, MEL, 71, 100, 40, 91, 
FS102, IQU, 80, 17, 40, 69, 
FS102, IND, 30, 17, 39, 53, 78
FS105, MEL, 71, 90, 40, 88, 
FS107, MEL, 64, 100, 40, 89, 
FS102, IND, 50, 33, 40, 65, 
FS102, IQU, 40, 25, 40, 60, 
FS101, INF, 55, 55, 40, 73, 
FS101, TOP, 0, 0, 40, 40, 
FS109, CEL, 0, 43, 45, 66, 
FS103, CIV, 43, 0, 0, 13, 
FS109, CEL, 0, 38, 20, 39, 
FS101, CEL, 0, 0, 30, 30, 
FS102, INF, 20, 42, 30, 49, 
FS108, CEL, 62, 88, 40, 85, 
FS101, , 60, 0, 0, 18, 
FS109, CIV, 0, 70, 35, 70, 
FS101, CIV, 60, 65, 40, 78, 
FS105, MEL, 86, 75, 32, 80, 
FS103, MEL, 93, 60, 36, 82, 
FS102, COM, 50, 25, 15, 38, 
FS102, COM, 50, 42, 36, 64, 
FS105, MEL, 21, 90, 40, 73, 
FS107, MEL, 43, 100, 39, 82, 
FS108, CEL, 54, 44, 5, 34, 58
FS102, IQU, 40, 33, 40, 62, 
FS102, IND, 70, 33, 40, 71, 
FS101, CIV, 75, 65, 40, 82, 
FS109, CIV, 0, 90, 50, 95, 
FS202, MEL, 50, 22, 40, 62, 
FS107, CEL, 79, 93, 40, 92, 
FS105, CEL, 50, 50, 40, 70, 
FS105, MEL, 36, 65, 40, 70, 
FS107, MEL, 21, 53, 0, 22, 
FS202, MEL, 40, 22, 0, 19, 24
FS102, IQU, 90, 100, 40, 97, 
FS102, CEL, 10, 25, 40, 50, 
FS104, CIV, 100, 86, 40, 96, 
FS102, QUI, 60, 25, 40, 66, 
FS104, MEL, 85, 79, 24, 73, 
FS202, CEL, 30, 44, 40, 62, 
FS108, CEL, 54, 38, 40, 68, 
FS105, COM, 43, 0, 0, 13, 
FS105, CEL, 29, 50, 40, 64, 
FS105, CIV, 43, 45, 0, 26, 34
FS105, IND, 71, 75, 35, 79, 
FS109, CEL, 0, 52, 44, 70, 
FS105, CEL, 71, 40, 20, 53, 57
FS107, CEL, 43, 80, 39, 76, 
FS102, IQU, 60, 50, 40, 73, 
FS108, CEL, 38, 56, 38, 66, 
FS103, MEL, 36, 40, 40, 63, 
FS102, IND, 30, 17, 40, 54, 56
FS109, BIM, 0, 48, 41, 65, 
FS102, IND, 10, 33, 40, 53, 
FS104, MEL, 42, 36, 4, 27, 
